trade_date,strategy,benchmark
2024-05-22,1.0,1.0657399362872866
2024-05-23,1.0,1.0550246162757022
2024-05-24,1.0,1.0431508832898928
2024-05-27,1.0062996060451128,1.0518389805965829
2024-05-28,1.0056504992015878,1.045178105994787
2024-05-29,0.9980572159678132,1.0454677092383435
2024-05-30,0.9872741062492271,1.041413263828555
2024-05-31,0.987402840792807,1.0373588184187663
2024-06-03,0.9905745532852439,1.038806834636548
2024-06-04,0.9936142962009089,1.0460469157254562
2024-06-05,0.9962132885451487,1.042282073559224
2024-06-06,1.0118213929385342,1.042282073559224
2024-06-07,1.0138249368912189,1.0356211989574284
2024-06-11,1.0158545997136692,1.0283811178685203
2024-06-12,1.0210304102686563,1.027222704894295
2024-06-13,1.0352747998584675,1.0234578627280626
2024-06-14,1.0331815018626076,1.029249927599189
2024-06-17,1.0321459015534697,1.026353895163626
2024-06-18,1.0410019478240036,1.0295395308427455
2024-06-19,1.042247658750563,1.0266434984071822
2024-06-20,1.0505609586556044,1.0199826238053866
2024-06-21,1.0413254497611208,1.0182450043440487
2024-06-24,1.0381878571095453,1.013321749203591
2024-06-25,1.0324514109466154,1.0072400810889084
2024-06-26,1.0489519461173886,1.013321749203591
2024-06-27,1.0531257769352314,1.0078192875760208
2024-06-28,1.066469697521686,1.0098465102809153
2024-07-01,1.0646252143426118,1.0139009556907037
2024-07-02,1.0661445788923982,1.012452939472922
2024-07-03,1.0832510297876985,1.0107153200115842
2024-07-04,1.0795859265728,1.0063712713582393
2024-07-05,1.0905165590570423,1.0014480162177817
2024-07-08,1.0964574373185128,0.9944975383724298
2024-07-09,1.0977665780353676,1.0052128583840139
2024-07-10,1.093955093082063,1.0028960324355634
2024-07-11,1.1005704063579198,1.0162177816391544
2024-07-12,1.0835814636924705,1.0191138140747178
2024-07-15,1.1023085434056523,1.0211410367796119
2024-07-16,1.1070117647912365,1.0283811178685203
2024-07-17,1.1142338667694804,1.0298291340863017
2024-07-18,1.1034093069510045,1.0359108022009846
2024-07-19,1.0784332792806302,1.0425716768027802
2024-07-22,1.0679321972231146,1.0341731827396468
2024-07-23,1.0742650961618694,1.0139009556907037
2024-07-24,1.07660507710176,1.0075296843324646
2024-07-25,1.0537299886741953,1.001737619461338
