date,kind,ts_code,name,weight,nav
2025-01-17,weekly,513100.SH,纳指ETF,0.04486092124806153,1175306.953127984
2025-01-17,weekly,513500.SH,标普500ETF,0.05513907875193845,1175306.953127984
2025-01-24,weekly,159985.SZ,豆粕ETF华夏,0.2536274004503545,1192201.6125879858
2025-01-24,weekly,159934.SZ,黄金ETF易方达,0.3223852213453454,1192201.6125879858
2025-01-24,weekly,518880.SH,黄金ETF,0.32398737820430007,1192201.6125879858
2025-01-24,weekly,513100.SH,纳指ETF,0.044902448176993036,1192201.6125879858
2025-01-24,weekly,513500.SH,标普500ETF,0.05509755182300693,1192201.6125879858
2025-02-07,weekly,159985.SZ,豆粕ETF华夏,0.2569273246814898,1223005.716047882
2025-02-07,weekly,159934.SZ,黄金ETF易方达,0.32002135035460894,1223005.716047882
2025-02-07,weekly,518880.SH,黄金ETF,0.3213175974815248,1223005.716047882
2025-02-07,weekly,513100.SH,纳指ETF,0.04466731343867085,1223005.716047882
2025-02-07,weekly,513500.SH,标普500ETF,0.055140050174398304,1223005.716047882
2025-02-14,weekly,159934.SZ,黄金ETF易方达,0.30789889236584517,1243126.6916411067
2025-02-14,weekly,518880.SH,黄金ETF,0.3090989412634918,1243126.6916411067
2025-02-14,weekly,159985.SZ,豆粕ETF华夏,0.24859501720951727,1243126.6916411067
2025-02-14,weekly,513100.SH,纳指ETF,0.042978836744837406,1243126.6916411067
2025-02-14,weekly,513500.SH,标普500ETF,0.05319814668170194,1243126.6916411067
2025-02-21,weekly,518880.SH,黄金ETF,0.2822324700889436,1243765.3113029497
2025-02-21,weekly,159934.SZ,黄金ETF易方达,0.2807416960602207,1243765.3113029497
2025-02-21,weekly,159985.SZ,豆粕ETF华夏,0.21796750523982578,1243765.3113029497
2025-02-21,weekly,513100.SH,纳指ETF,0.038737609883593115,1243765.3113029497
2025-02-21,weekly,513500.SH,标普500ETF,0.04803368693740574,1243765.3113029497
2025-02-28,weekly,159934.SZ,黄金ETF易方达,0.26225544122068534,1223147.3524285068
2025-02-28,weekly,518880.SH,黄金ETF,0.26340464286419846,1223147.3524285068
2025-02-28,weekly,159985.SZ,豆粕ETF华夏,0.2026864428908309,1223147.3524285068
2025-02-28,weekly,513100.SH,纳指ETF,0.036024565598967426,1223147.3524285068
2025-02-28,weekly,513500.SH,标普500ETF,0.04490282628722307,1223147.3524285068
2025-03-07,weekly,159985.SZ,豆粕ETF华夏,0.606020536466714,1226861.418243731
2025-03-07,weekly,513100.SH,纳指ETF,0.029924416514167086,1226861.418243731
2025-03-07,weekly,513500.SH,标普500ETF,0.037411198648801124,1226861.418243731
2025-03-14,weekly,159934.SZ,黄金ETF易方达,0.44959977180348953,1225028.2964928243
